赛事,主队,客队,主队进球,客队进球,亚盘水位,亚盘,赔率水位,胜,平,负,返还率
英超,富勒姆,诺丁汉,5,0,1.05,半球,0.85,1.95,3.6,3.8,94.90%
英超,谢菲联,利物浦,0,2,0.84,受两球/两球半,1.06,15,7.5,1.18,95.50%
英超,布赖顿,布伦特,2,1,1.03,半球/一球,0.87,1.8,4,4.2,95.80%
英超,水晶宫,伯恩茅,0,2,1.02,平手/半球,0.88,2.25,3.5,3.1,95.00%
英超,曼联,切尔西,2,1,0.73,受平手/半球,1.08,2.8,3.5,2.4,94.40%
英超,维拉,曼城,1,0,0.84,受一球,1.06,5.25,4.2,1.61,95.30%
英超,埃弗顿,纽卡斯,3,0,0.9,受平手/半球,1,3.1,3.4,2.25,94.20%
英超,热刺,西汉姆,1,2,0.83,半球/一球,1.07,1.7,4.2,4.75,96.40%
德国杯,萨尔布,法兰克,2,0,0.92,受一球,0.92,5.5,4.33,1.55,94.50%
德国杯,勒沃,帕德博,3,1,1,两球半/三球,0.85,1.1,12,15,94.40%
德国杯,斯图加,多特,2,0,0.9,半球,0.95,1.9,4,3.6,94.90%
意杯,佛罗伦,帕尔马,2,2,0.92,一球/球半,0.92,1.44,4.33,8,95.20%
法甲,马赛,里昂,3,0,0.95,半球,0.9,1.9,3.6,3.8,93.70%
法甲,布雷斯,斯特堡,1,1,0.87,半球,0.97,1.85,3.5,4.33,94.60%
英超,狼队,伯恩利,1,0,0.95,半球,0.95,1.9,3.6,4,94.90%
英超,卢顿,阿森纳,3,4,0.86,受两球,1.04,17,8,1.16,95.60%
德国杯,凯泽,纽伦堡,2,0,0.95,半球,0.9,1.95,3.4,4,94.60%
德国杯,马格德堡,杜塞尔,1,2,1.1,平手/半球,0.7,2.4,3.75,2.7,94.90%
德国杯,门兴,沃尔夫,0,0,1.03,平手/半球,0.83,2.3,3.6,2.88,94.40%
意杯,拉齐奥,热那亚,1,0,0.8,半球/一球,1.05,1.57,3.75,6.5,94.60%
法乙,奎维利,波尔多,3,2,0.8,平手,1.05,2.45,3.3,2.8,93.60%
法乙,孔卡诺,欧塞尔,1,2,1,受半球/一球,0.85,5.25,3.6,1.65,93.10%
法乙,埃蒂安,甘冈,1,3,1.05,平手/半球,0.8,2.37,3.1,3.1,93.70%
法乙,波城,瓦朗谢,3,1,0.85,平手/半球,1,2.1,3.25,3.6,94.20%
法乙,昂热,格勒诺,1,0,0.97,半球,0.87,1.95,3.25,4.2,94.50%
